Objective function value: 4280.834399999999

X[0, 0]: 0.0, Y[0, 0]: 0.0, S[0, 0]: 0.0
X[1, 0]: 0.0, Y[1, 0]: 0.0, S[1, 0]: -0.0
X[2, 0]: 13.0, Y[2, 0]: 1.0, S[2, 0]: 8.0
X[3, 0]: 0.0, Y[3, 0]: -0.0, S[3, 0]: 0.0
X[4, 0]: 0.0, Y[4, 0]: 0.0, S[4, 0]: 0.0
X[0, 1]: 0.0, Y[0, 1]: -0.0, S[0, 1]: 0.0
X[1, 1]: 0.0, Y[1, 1]: 0.0, S[1, 1]: -0.0
X[2, 1]: 0.0, Y[2, 1]: 0.0, S[2, 1]: 0.0
X[3, 1]: 0.0, Y[3, 1]: -0.0, S[3, 1]: 0.0
X[4, 1]: 0.0, Y[4, 1]: 0.0, S[4, 1]: 0.0
X[0, 2]: 0.0, Y[0, 2]: -0.0, S[0, 2]: 0.0
X[1, 2]: 0.0, Y[1, 2]: 0.0, S[1, 2]: -0.0
X[2, 2]: 12.0, Y[2, 2]: 1.0, S[2, 2]: 5.0
X[3, 2]: 0.0, Y[3, 2]: -0.0, S[3, 2]: 0.0
X[4, 2]: 0.0, Y[4, 2]: 0.0, S[4, 2]: 0.0
X[0, 3]: 0.0, Y[0, 3]: -0.0, S[0, 3]: 0.0
X[1, 3]: 0.0, Y[1, 3]: 0.0, S[1, 3]: -0.0
X[2, 3]: 0.0, Y[2, 3]: 0.0, S[2, 3]: -0.0
X[3, 3]: 0.0, Y[3, 3]: -0.0, S[3, 3]: 0.0
X[4, 3]: 0.0, Y[4, 3]: 0.0, S[4, 3]: 0.0
X[0, 4]: 0.0, Y[0, 4]: -0.0, S[0, 4]: 0.0
X[1, 4]: 0.0, Y[1, 4]: 0.0, S[1, 4]: -0.0
X[2, 4]: 14.0, Y[2, 4]: 1.0, S[2, 4]: 6.0
X[3, 4]: 0.0, Y[3, 4]: -0.0, S[3, 4]: 0.0
X[4, 4]: 0.0, Y[4, 4]: 0.0, S[4, 4]: 0.0
X[0, 5]: 0.0, Y[0, 5]: -0.0, S[0, 5]: 0.0
X[1, 5]: 0.0, Y[1, 5]: 0.0, S[1, 5]: -0.0
X[2, 5]: 0.0, Y[2, 5]: 0.0, S[2, 5]: -0.0
X[3, 5]: 0.0, Y[3, 5]: -0.0, S[3, 5]: 0.0
X[4, 5]: 7.790000000000001, Y[4, 5]: 1.0, S[4, 5]: 3.94
X[0, 6]: 0.0, Y[0, 6]: -0.0, S[0, 6]: 0.0
X[1, 6]: 0.0, Y[1, 6]: 0.0, S[1, 6]: -0.0
X[2, 6]: 19.0, Y[2, 6]: 1.0, S[2, 6]: 13.0
X[3, 6]: 0.0, Y[3, 6]: -0.0, S[3, 6]: 0.0
X[4, 6]: 0.0, Y[4, 6]: 0.0, S[4, 6]: 0.0
X[0, 7]: 0.0, Y[0, 7]: -0.0, S[0, 7]: 0.0
X[1, 7]: 0.0, Y[1, 7]: 0.0, S[1, 7]: -0.0
X[2, 7]: 0.0, Y[2, 7]: 0.0, S[2, 7]: 6.0
X[3, 7]: 0.0, Y[3, 7]: -0.0, S[3, 7]: 0.0
X[4, 7]: 7.779999999999999, Y[4, 7]: 1.0, S[4, 7]: 3.7999999999999994
X[0, 8]: 0.0, Y[0, 8]: -0.0, S[0, 8]: 0.0
X[1, 8]: -0.0, Y[1, 8]: 0.0, S[1, 8]: -0.0
X[2, 8]: 0.0, Y[2, 8]: 0.0, S[2, 8]: 0.0
X[3, 8]: 0.0, Y[3, 8]: -0.0, S[3, 8]: 5.14
X[4, 8]: 0.0, Y[4, 8]: 0.0, S[4, 8]: 0.0
X[0, 9]: 0.0, Y[0, 9]: -0.0, S[0, 9]: 0.0
X[1, 9]: 0.0, Y[1, 9]: 0.0, S[1, 9]: -0.0
X[2, 9]: 10.0, Y[2, 9]: 1.0, S[2, 9]: 5.0
X[3, 9]: 0.0, Y[3, 9]: -0.0, S[3, 9]: 0.0
X[4, 9]: 0.0, Y[4, 9]: 0.0, S[4, 9]: 0.0
X[0, 10]: 0.0, Y[0, 10]: -0.0, S[0, 10]: 0.0
X[1, 10]: 0.0, Y[1, 10]: 0.0, S[1, 10]: -0.0
X[2, 10]: 0.0, Y[2, 10]: 0.0, S[2, 10]: 0.0
X[3, 10]: 0.0, Y[3, 10]: -0.0, S[3, 10]: 0.0
X[4, 10]: 0.0, Y[4, 10]: 0.0, S[4, 10]: 0.0
X[0, 11]: 0.0, Y[0, 11]: -0.0, S[0, 11]: 0.0
X[1, 11]: 0.0, Y[1, 11]: 0.0, S[1, 11]: -0.0
X[2, 11]: 5.0, Y[2, 11]: 1.0, S[2, 11]: -0.0
X[3, 11]: 0.0, Y[3, 11]: -0.0, S[3, 11]: 0.0
X[4, 11]: 3.94, Y[4, 11]: 1.0, S[4, 11]: 0.0
